count,first_name,last_name,salary,from_date,title
16433,Lalit,Kavanagh,64174,2002-08-01,Senior Engineer
16433,Vasilii,Genther,90666,2002-08-01,Senior Engineer
15562,Breannda,Bashian,90134,2002-08-01,Senior Staff
15562,Jacopo,Hennebert,55876,2002-08-01,Senior Staff
15562,Stella,Azadmanesh,88539,2002-08-01,Senior Staff
15562,Shen,Makrucki,56227,2002-07-31,Senior Staff
16433,Shuichi,Boreale,68925,2002-07-31,Senior Engineer
19255,Gro,Sgarro,52918,2002-07-30,Engineer
16433,Sasan,Kabayashi,54295,2002-07-30,Senior Engineer
19255,Fatemeh,Stanger,83196,2002-07-30,Engineer
15562,Gift,Koprowski,74748,2002-07-30,Senior Staff
15562,Kazuhiro,Akiyama,43441,2002-07-30,Senior Staff
15562,Jayesh,Vrecion,79445,2002-07-30,Senior Staff
15562,Marsal,Pena,45217,2002-07-29,Senior Staff
15562,Lansing,Baek,66207,2002-07-29,Senior Staff
15562,Gennadi,Hmelo,41819,2002-07-29,Senior Staff
19255,Supot,Terekhov,96193,2002-07-29,Engineer
16433,Teiji,Dratva,93306,2002-07-29,Senior Engineer
16433,Magdalena,Bellmore,103321,2002-07-29,Senior Engineer
16433,Tomoyuki,Melski,53876,2002-07-28,Senior Engineer
16433,Abdelghani,Rijsenbrij,54690,2002-07-28,Senior Engineer
19255,Heping,Claffy,74461,2002-07-28,Engineer
16433,Michaela,Streit,74178,2002-07-28,Senior Engineer
16433,Serenella,Sevcikova,73758,2002-07-28,Senior Engineer
16433,Giao,Reeken,92470,2002-07-28,Senior Engineer
19255,Gianluca,Koshino,53222,2002-07-28,Engineer
15562,Tetsushi,England,53092,2002-07-28,Senior Staff
19255,Kayoko,Mansanne,79584,2002-07-27,Engineer
16433,Yakkov,Staylopatis,60488,2002-07-27,Senior Engineer
16433,Byong,Bierbaum,69249,2002-07-27,Senior Engineer
16433,Itzchak,Farrel,63775,2002-07-26,Senior Engineer
16433,Kien,Papastamatiou,54596,2002-07-26,Senior Engineer
